NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_200,MO_1_26359,
,,NONE,MAP,MO_100001_200,VMR_2_153893,
,,NONE,MAP,MO_100001_201,MO_1_26360,
,,NONE,MAP,MO_100001_201,VMR_2_153894,
,,NONE,MAP,MO_100001_202,MO_1_26361,
,,NONE,MAP,MO_100001_202,VMR_2_153895,
,,NONE,MAP,MO_100001_203,MO_1_26362,
,,NONE,MAP,MO_100001_203,VMR_2_153896,
,,NONE,MAP,MO_100001_204,MO_1_26363,
,,NONE,MAP,MO_100001_204,VMR_2_153897,
,,NONE,MAP,MO_100001_205,MO_1_26364,
,,NONE,MAP,MO_100001_205,VMR_2_153898,
,,NONE,MAP,MO_100001_206,MO_1_26365,
,,NONE,MAP,MO_100001_206,VMR_2_153899,
,,NONE,MAP,MO_100001_207,MO_1_26366,
,,NONE,MAP,MO_100001_207,VMR_2_153900,
,,NONE,MAP,MO_100001_208,MO_1_26367,
,,NONE,MAP,MO_100001_208,VMR_2_153901,
,,NONE,MAP,MO_100001_209,MO_1_26368,
,,NONE,MAP,MO_100001_209,VMR_2_153902,
,,NONE,MAP,MO_100001_210,MO_1_26369,
,,NONE,MAP,MO_100001_210,VMR_2_153903,
,,NONE,MAP,MO_100001_211,MO_1_26370,
,,NONE,MAP,MO_100001_211,VMR_2_153904,
,,NONE,MAP,MO_100001_212,MO_1_8887,
,,NONE,MAP,MO_100001_212,VMR_2_162062,
,,NONE,MAP,MO_100001_213,MO_1_8888,
,,NONE,MAP,MO_100001_213,VMR_2_162063,
,,NONE,MAP,MO_100001_214,MO_1_8889,
,,NONE,MAP,MO_100001_214,VMR_2_162064,
,,NONE,MAP,MO_100001_215,MO_1_8890,
,,NONE,MAP,MO_100001_215,VMR_2_162065,
,,NONE,MAP,MO_100001_216,MO_1_8891,
,,NONE,MAP,MO_100001_216,VMR_2_162066,
,,NONE,MAP,MO_100001_217,MO_1_8892,
,,NONE,MAP,MO_100001_217,VMR_2_162067,
,,NONE,MAP,MO_100001_218,MO_1_8893,
,,NONE,MAP,MO_100001_218,VMR_2_162068,
,,NONE,MAP,MO_100001_219,MO_1_8894,
,,NONE,MAP,MO_100001_219,VMR_2_162069,
,,NONE,MAP,MO_100001_220,MO_1_8895,
,,NONE,MAP,MO_100001_220,VMR_2_162070,
,,NONE,MAP,MO_100001_221,MO_1_8896,
,,NONE,MAP,MO_100001_221,VMR_2_162071,
,,NONE,MAP,MO_100001_222,MO_1_8897,
,,NONE,MAP,MO_100001_222,VMR_2_162072,
,,NONE,MAP,MO_100001_223,MO_1_8923,
,,NONE,MAP,MO_100001_223,VMR_2_162098,
,,NONE,MAP,MO_100001_224,MO_1_8924,
,,NONE,MAP,MO_100001_224,VMR_2_162099,
,,NONE,MAP,MO_100001_225,MO_1_8925,
,,NONE,MAP,MO_100001_225,VMR_2_162100,
,,NONE,MAP,MO_100001_226,MO_1_8926,
,,NONE,MAP,MO_100001_226,VMR_2_162101,
,,NONE,MAP,MO_100001_227,MO_1_8927,
,,NONE,MAP,MO_100001_227,VMR_2_162102,
,,NONE,MAP,MO_100001_228,MO_1_8928,
,,NONE,MAP,MO_100001_228,VMR_2_162103,
,,NONE,MAP,MO_100001_229,MO_1_8929,
,,NONE,MAP,MO_100001_229,VMR_2_162104,
,,NONE,MAP,MO_100001_230,MO_1_8930,
,,NONE,MAP,MO_100001_230,VMR_2_162105,
,,NONE,MAP,MO_100001_231,MO_1_8931,
,,NONE,MAP,MO_100001_231,VMR_2_162106,
,,NONE,MAP,MO_100001_232,MO_1_8932,
,,NONE,MAP,MO_100001_232,VMR_2_162107,
,,NONE,MAP,MO_100001_233,MO_1_8933,
,,NONE,MAP,MO_100001_233,VMR_2_162108,
,,NONE,MAP,MO_100001_234,MO_1_8934,
,,NONE,MAP,MO_100001_234,VMR_2_162109,
,,NONE,MAP,MO_100001_235,MO_1_8935,
,,NONE,MAP,MO_100001_235,VMR_2_162110,
,,NONE,MAP,MO_100001_236,MO_1_8936,
,,NONE,MAP,MO_100001_236,VMR_2_162111,
,,NONE,MAP,MO_100001_237,MO_1_8938,
,,NONE,MAP,MO_100001_237,VMR_2_162113,
,,NONE,MAP,MO_100001_238,MO_1_8939,
,,NONE,MAP,MO_100001_238,VMR_2_162114,
,,NONE,MAP,MO_100001_239,MO_1_8940,
,,NONE,MAP,MO_100001_239,VMR_2_162115,
,,NONE,MAP,MO_100001_240,MO_1_8941,
,,NONE,MAP,MO_100001_240,VMR_2_162116,
,,NONE,MAP,MO_100001_241,MO_1_8942,
,,NONE,MAP,MO_100001_241,VMR_2_162117,
,,NONE,MAP,MO_100001_242,MO_1_8943,
,,NONE,MAP,MO_100001_242,VMR_2_162118,
,,NONE,MAP,MO_100001_243,MO_1_8944,
,,NONE,MAP,MO_100001_243,VMR_2_162119,
,,NONE,MAP,MO_100001_244,MO_1_8957,
,,NONE,MAP,MO_100001_244,VMR_2_162132,
,,NONE,MAP,MO_100001_245,MO_1_8958,
