NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,RWX,HOLD,PD_100001,VMR_100002_22,
,,RWX,HOLD,PD_100001,VMR_100002_23,
,,RWX,HOLD,PD_100001,VMR_100002_24,
,,RWX,HOLD,PD_100001,VMR_100002_25,
,,RWX,HOLD,PD_100001,VMR_100002_26,
,,RWX,HOLD,PD_100001,VMR_100002_27,
,,RWX,HOLD,PD_100001,VMR_100002_28,
,,RWX,HOLD,PD_100001,VMR_100002_29,
,,RWX,HOLD,PD_100001,VMR_100002_30,
,,RWX,HOLD,PD_100001,VMR_100002_31,
,,RWX,HOLD,PD_100001,VMR_100002_32,
,,RWX,HOLD,PD_100001,VMR_100002_33,
,,RWX,HOLD,PD_100001,VMR_100002_34,
,,RWX,HOLD,PD_100001,VMR_100002_35,
,,RWX,HOLD,PD_100001,VMR_100002_36,
,,RWX,HOLD,PD_100001,VMR_100002_37,
,,RWX,HOLD,PD_100001,VMR_100002_38,
,,RWX,HOLD,PD_100001,VMR_100002_39,
,,RWX,HOLD,PD_100001,VMR_100002_40,
,,RWX,HOLD,PD_100001,VMR_100002_41,
,,RWX,HOLD,PD_100001,VMR_100002_42,
,,RWX,HOLD,PD_100001,VMR_100002_43,
,,RWX,HOLD,PD_100001,VMR_100002_44,
,,RWX,HOLD,PD_100001,VMR_100002_45,
,,RWX,HOLD,PD_100001,VMR_100002_46,
,,RWX,HOLD,PD_100001,VMR_100002_47,
,,RWX,HOLD,PD_100001,VMR_100002_48,
,,RWX,HOLD,PD_100001,VMR_100002_49,
,,RWX,HOLD,PD_100001,VMR_100002_50,
,,RWX,HOLD,PD_100001,VMR_100002_51,
,,RWX,HOLD,PD_100001,VMR_100002_52,
,,RWX,HOLD,PD_100001,VMR_100002_53,
,,RWX,HOLD,PD_100001,VMR_100002_54,
,,RWX,HOLD,PD_100001,VMR_100002_55,
,,RWX,HOLD,PD_100001,VMR_100002_56,
,,RWX,HOLD,PD_100001,VMR_100002_57,
,,RWX,HOLD,PD_100001,VMR_100002_58,
,,RWX,HOLD,PD_100001,VMR_100002_59,
,,RWX,HOLD,PD_100001,VMR_100002_60,
,,RWX,HOLD,PD_100001,VMR_100002_61,
,,RWX,HOLD,PD_100001,VMR_100002_62,
,,RWX,HOLD,PD_100001,VMR_100002_63,
,,RWX,HOLD,PD_100001,VMR_100002_64,
,,RWX,HOLD,PD_100001,VMR_100002_65,
,,RWX,HOLD,PD_100001,VMR_100002_66,
